ano;sigla_uf;id_municipio;rede;ensino;anos_escolares;taxa_aprovacao;indicador_rendimento;nota_saeb_matematica;nota_saeb_lingua_portuguesa;ideb;projecao
2019;AC;1200013;estadual;fundamental;finais (6-9);93.6;0.93572003;;;;5.2
2019;AC;1200013;municipal;fundamental;finais (6-9);;;;;;
2019;AC;1200013;publica;fundamental;finais (6-9);93.6;0.935691;;;;5.2
2019;AC;1200054;estadual;fundamental;finais (6-9);87.8;0.87896401;260.77;251.58;4.6;4.7
2019;AC;1200054;publica;fundamental;finais (6-9);87.8;0.87896401;260.77;251.58;4.6;4.9
2019;AC;1200104;estadual;fundamental;finais (6-9);97.1;0.97123098;291.54;285.01;6.1;4.8
2019;AC;1200104;publica;fundamental;finais (6-9);97.1;0.97123098;291.54;285.01;6.1;4.9
2019;AC;1200138;estadual;fundamental;finais (6-9);91.1;0.90997797;221.83;214.17;3.6;4.9
2019;AC;1200138;municipal;fundamental;finais (6-9);;;;;;
2019;AC;1200138;publica;fundamental;finais (6-9);90.8;0.90781301;221.83;214.17;3.6;4.9
2019;AC;1200179;estadual;fundamental;finais (6-9);87.2;0.87047201;247.71;247.86;4.3;5.3
2019;AC;1200179;municipal;fundamental;finais (6-9);;;;;;4.2
2019;AC;1200179;publica;fundamental;finais (6-9);88.8;0.88819897;247.71;247.86;4.4;5.2
2019;AC;1200203;estadual;fundamental;finais (6-9);94.9;0.94963801;262.6;262.95;5.2;5.3
2019;AC;1200203;municipal;fundamental;finais (6-9);88.3;0.88655698;246.75;246.05;4.3;5.5
2019;AC;1200203;publica;fundamental;finais (6-9);93.5;0.93584102;260.83;261.07;5;5.4
2019;AC;1200252;estadual;fundamental;finais (6-9);93;0.92861098;262.39;263.39;5;4.7
2019;AC;1200252;publica;fundamental;finais (6-9);93;0.92861098;262.39;263.39;5;4.8
2019;AC;1200302;estadual;fundamental;finais (6-9);92.2;0.92305303;269.3;267.88;5.2;5.4
2019;AC;1200302;municipal;fundamental;finais (6-9);;;;;;4.5
2019;AC;1200302;publica;fundamental;finais (6-9);91.6;0.916399;269.3;267.88;5.2;5.3
2019;AC;1200328;estadual;fundamental;finais (6-9);92.9;0.93161303;265.23;253.05;4.9;4.1
2019;AC;1200328;municipal;fundamental;finais (6-9);86.9;0.87037098;245.05;235.83;4.1;4.6
2019;AC;1200328;publica;fundamental;finais (6-9);88.3;0.88486803;253.41;242.97;4.4;4.6
2019;AC;1200336;estadual;fundamental;finais (6-9);94.9;0.94807398;239.83;243.61;4.5;4.9
2019;AC;1200336;municipal;fundamental;finais (6-9);;;;;;4.5
2019;AC;1200336;publica;fundamental;finais (6-9);94.9;0.94807398;239.83;243.61;4.5;4.8
2019;AC;1200344;estadual;fundamental;finais (6-9);93;0.931252;250.46;251.5;4.7;4.8
2019;AC;1200344;municipal;fundamental;finais (6-9);;;;;;4
2019;AC;1200344;publica;fundamental;finais (6-9);95.5;0.95417303;250.46;251.5;4.8;4.7
2019;AC;1200351;municipal;fundamental;finais (6-9);88.1;0.882689;237.41;228.88;3.9;4.3
2019;AC;1200351;publica;fundamental;finais (6-9);88.1;0.88316602;237.41;228.88;3.9;4.3
2019;AC;1200385;estadual;fundamental;finais (6-9);93.9;0.93745798;255.47;254.63;4.8;5.1
2019;AC;1200385;municipal;fundamental;finais (6-9);83.4;0.83088499;259.05;253.42;4.3;4.5
2019;AC;1200385;publica;fundamental;finais (6-9);91.1;0.90938002;256.55;254.27;4.7;5.2
2019;AC;1200393;estadual;fundamental;finais (6-9);86;0.86029398;245.16;233.82;4;4.2
2019;AC;1200393;municipal;fundamental;finais (6-9);;;;;;4.7
2019;AC;1200393;publica;fundamental;finais (6-9);88.8;0.88543099;245.16;233.82;4.1;4.5
2019;AC;1200401;estadual;fundamental;finais (6-9);92.9;0.927899;254.63;255.25;4.8;5.4
2019;AC;1200401;federal;fundamental;finais (6-9);83.5;0.806458;294.45;273.16;4.9;5.8
2019;AC;1200401;municipal;fundamental;finais (6-9);;;;;;4.6
2019;AC;1200401;publica;fundamental;finais (6-9);92.8;0.92714202;255.13;255.47;4.8;5.3
2019;AC;1200427;estadual;fundamental;finais (6-9);94.3;0.94378799;249.91;248.44;4.7;5.1
2019;AC;1200427;municipal;fundamental;finais (6-9);;;;;;4.5
2019;AC;1200427;publica;fundamental;finais (6-9);94.5;0.94475299;249.91;248.44;4.7;4.8
2019;AC;1200435;municipal;fundamental;finais (6-9);88.4;0.88339299;230.77;240.75;4;4.6
2019;AC;1200435;publica;fundamental;finais (6-9);88.4;0.88339299;230.77;240.75;4;4.6
2019;AC;1200450;estadual;fundamental;finais (6-9);92.1;0.92123997;259.61;256.45;4.9;5.8
2019;AC;1200450;municipal;fundamental;finais (6-9);88.7;0.88451302;;;;4.9
2019;AC;1200450;publica;fundamental;finais (6-9);91.4;0.914738;260.97;255.66;4.8;5.5
2019;AC;1200500;estadual;fundamental;finais (6-9);93.7;0.93517601;257.27;258.92;4.9;5
2019;AC;1200500;municipal;fundamental;finais (6-9);;;;;;4.3
2019;AC;1200500;publica;fundamental;finais (6-9);91.9;0.92020899;257.27;258.92;4.8;4.6
2019;AC;1200609;estadual;fundamental;finais (6-9);89.9;0.90021402;257.23;253.25;4.7;5.1
2019;AC;1200609;municipal;fundamental;finais (6-9);;;;;;4.8
2019;AC;1200609;publica;fundamental;finais (6-9);89.9;0.90100503;257.23;253.25;4.7;5
2019;AC;1200708;estadual;fundamental;finais (6-9);86.2;0.85983098;260.7;256.19;4.5;5.3
2019;AC;1200708;municipal;fundamental;finais (6-9);;;;;;4.6
2019;AC;1200708;publica;fundamental;finais (6-9);86.2;0.85983098;260.7;256.19;4.5;5.2
2019;AC;1200807;estadual;fundamental;finais (6-9);88.9;0.89021701;;;;5.3
2019;AC;1200807;municipal;fundamental;finais (6-9);;;;;;
2019;AC;1200807;publica;fundamental;finais (6-9);88.9;0.89021701;;;;5.2
2019;AL;2700102;estadual;fundamental;finais (6-9);98.2;0.98148799;237.25;232.05;4.4;4.3
2019;AL;2700102;municipal;fundamental;finais (6-9);81.4;0.820014;254.74;251.3;4.2;4.3
2019;AL;2700102;publica;fundamental;finais (6-9);82.7;0.83103502;248.32;244.25;4.1;4.3
2019;AL;2700201;estadual;fundamental;finais (6-9);;;;;;4.9
2019;AL;2700201;municipal;fundamental;finais (6-9);93.2;0.93195897;234.27;233.27;4.2;4
2019;AL;2700201;publica;fundamental;finais (6-9);93.2;0.93195897;234.27;233.27;4.2;4
2019;AL;2700300;estadual;fundamental;finais (6-9);92;0.92084801;269.82;269.05;5.2;4.4
2019;AL;2700300;municipal;fundamental;finais (6-9);83.1;0.83677399;262.1;260.42;4.5;4.1
2019;AL;2700300;publica;fundamental;finais (6-9);85.7;0.86166602;265.51;264.23;4.7;4.3
2019;AL;2700409;estadual;fundamental;finais (6-9);;;;;;4.5
2019;AL;2700409;municipal;fundamental;finais (6-9);88.6;0.895028;241.41;251.91;4.4;4.3
2019;AL;2700409;publica;fundamental;finais (6-9);88.6;0.895028;241.41;251.91;4.4;4.4
2019;AL;2700508;municipal;fundamental;finais (6-9);83.1;0.83756101;232.11;225.69;3.6;3.8
2019;AL;2700508;publica;fundamental;finais (6-9);83.1;0.83756101;232.11;225.69;3.6;3.8
2019;AL;2700607;estadual;fundamental;finais (6-9);;;;;;4.9
2019;AL;2700607;municipal;fundamental;finais (6-9);83.8;0.83758301;247.3;245.16;4.1;4.4
2019;AL;2700607;publica;fundamental;finais (6-9);83.8;0.83758301;247.3;245.16;4.1;4.4
2019;AL;2700706;estadual;fundamental;finais (6-9);96.3;0.963498;256.33;244.72;4.8;4.6
2019;AL;2700706;municipal;fundamental;finais (6-9);96.7;0.96691501;243.44;246.16;4.7;4
2019;AL;2700706;publica;fundamental;finais (6-9);96.6;0.96658701;249.28;245.5;4.7;4.5
2019;AL;2700805;estadual;fundamental;finais (6-9);;;;;;5.1
2019;AL;2700805;municipal;fundamental;finais (6-9);95.2;0.952981;258.45;265.66;5.1;4
2019;AL;2700805;publica;fundamental;finais (6-9);95.2;0.952981;258.45;265.66;5.1;4
2019;AL;2700904;municipal;fundamental;finais (6-9);81.1;0.82914901;255.67;251.25;4.2;4.6
2019;AL;2700904;publica;fundamental;finais (6-9);81.1;0.82914901;255.67;251.25;4.2;4.6
2019;AL;2701001;estadual;fundamental;finais (6-9);;;;;;3.7
2019;AL;2701001;municipal;fundamental;finais (6-9);92.1;0.92384398;239.08;239.38;4.3;4.2
2019;AL;2701001;publica;fundamental;finais (6-9);92.1;0.92384398;239.08;239.38;4.3;4.1
2019;AL;2701100;estadual;fundamental;finais (6-9);;;;;;4.1
2019;AL;2701100;municipal;fundamental;finais (6-9);97.7;0.97680497;252.46;246.38;4.9;4.1
2019;AL;2701100;publica;fundamental;finais (6-9);97.7;0.97680497;252.46;246.38;4.9;4.1
2019;AL;2701209;estadual;fundamental;finais (6-9);;;;;;4.7
2019;AL;2701209;municipal;fundamental;finais (6-9);98.2;0.98320103;249.13;232.53;4.6;4.4
