ano;id_municipio;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
2018;1100015;499305982;28261302;471044680;165892171;26369018;123512405;155271086
2018;1100023;2463773260;252260341;2211512920;163120731;339667233;1034183951;674541006
2018;1100031;140502269;5651465;134850804;62337414;5178976;25170517;42163897
2018;1100049;2180454016;225198416;1955255600;212492509;222558359;971609245;548595488
2018;1100056;472178834;68863359;403315475;61973278;22818149;208728017;109796030
2018;1100064;330428467;21385490;309042977;73479137;26194988;103454332;105914520
2018;1100072;320628263;10394370;310233893;212545316;9970666;30595500;57122411
2018;1100080;230163501;7684101;222479400;63525120;7217912;42875253;108861115
2018;1100098;608397832;48924696;559473137;120026058;61347072;183338981;194761025
2018;1100106;836882116;114154089;722728027;46930620;29036432;361929272;284831704
2018;1100114;1476627167;160753374;1315873793;174427135;226575263;588767258;326104137
2018;1100122;3362336058;445340862;2916995196;141764862;403202282;1601590427;770437625
2018;1100130;642102787;31536945;610565843;190494070;46881425;130598973;242591374
2018;1100148;370024441;20134210;349890231;103925394;37158346;82157184;126649306
2018;1100155;808666683;60402223;748264460;143561713;81960193;285328279;237414274
2018;1100189;1131157616;178697716;952459900;109643142;179848646;417241619;245726493
2018;1100205;16647157596;2120205240;14526952357;586045344;3858082415;6664114544;3418710053
2018;1100254;417600734;36159079;381441655;102277976;36861624;117093020;125209034
2018;1100262;106521212;3395986;103125226;54708046;7330743;11089811;29996626
2018;1100288;1317091417;114386898;1202704519;97067699;251482147;502743712;351410961
2018;1100296;146645131;5303880;141341252;51398183;13603959;26830183;49508927
2018;1100304;2769483326;359365390;2410117936;143682010;448423324;1171536608;646475994
2018;1100320;711450643;36919147;674531496;242199297;128163196;153483797;150685205
2018;1100338;508701524;19573656;489127868;184589926;25150621;93540613;185846708
2018;1100346;256508574;10004141;246504433;78818271;11705460;57543173;98437530
2018;1100379;278480290;10917796;267562495;124974664;11711778;41556423;89319629
2018;1100403;328751211;16735591;312015619;87597010;23590481;74888054;125940074
2018;1100452;680976334;46423363;634552971;176694584;37720042;182637598;237500747
2018;1100502;165797701;7223924;158573777;58293593;9703664;32950892;57625627
2018;1100601;140629656;4041944;136587711;71271637;3358949;19521836;42435290
2018;1100700;280341074;7636555;272704520;129426897;22535520;26395001;94347102
2018;1100809;567897680;22465512;545432167;85026135;186970454;103914037;169521542
2018;1100908;113026764;2754932;110271832;74886237;1786504;7508495;26090597
2018;1100924;301331503;14334082;286997421;105105544;51048281;52350167;78493430
2018;1100940;357076680;14623761;342452918;85034156;59076526;55819112;142523124
2018;1101005;178780391;4929827;173850564;95115058;4781223;16792778;57161505
2018;1101104;180286067;7852004;172434063;43803659;25904402;35928803;66797199
2018;1101203;206232667;12588604;193644063;72736700;12158446;45027475;63721442
2018;1101302;217966989;10020406;207946583;66365198;13163602;57705025;70712758
2018;1101401;283002854;12382366;270620488;90940174;22836337;56656258;100187719
2018;1101435;121053760;3969708;117084052;53916382;3418114;13525448;46224108
2018;1101450;106590091;3159149;103430942;48290750;3258676;11117074;40764442
2018;1101468;104579118;3139667;101439451;63956648;3303218;11524950;22654635
2018;1101476;60539882;1995245;58544637;23034631;2097201;8521250;24891554
2018;1101484;89556395;3194856;86361539;32791882;2305263;13416738;37847656
2018;1101492;352761779;17302417;335459362;128697334;16476432;68051386;122234209
2018;1101500;234980756;14012057;220968699;83888338;11176094;47320771;78583495
2018;1101559;89303533;3215314;86088219;39113592;4001882;11644106;31328639
2018;1101609;191965040;5609185;186355855;92622674;5227397;17802378;70703406
2018;1101708;217176141;8431586;208744556;80054407;8871977;42676562;77141609
2018;1101757;159963192;5145847;154817345;55621916;6264541;20487482;72443406
2018;1101807;150141488;5126940;145014548;75533478;3510838;17775173;48195059
2018;1200013;236379386;12177540;224201847;68300008;8032298;52375278;95494263
2018;1200054;91485893;2982765;88503128;19443523;2747114;16088953;50223538
2018;1200104;417839292;34911857;382927435;68628355;30755894;119160171;164383015
2018;1200138;157797041;2721663;155075377;64186105;3464306;21059021;66365945
2018;1200179;170402523;6470015;163932508;60820959;4003648;24938550;74169351
2018;1200203;1425684781;151112415;1274572366;62717028;97059276;561416319;553379744
2018;1200252;459388218;85416851;373971367;41244043;16860988;206327818;109538518
2018;1200302;364112450;14390137;349722313;57787768;11574110;70842658;209517777
2018;1200328;76928799;1394733;75534066;8740105;1510823;9032177;56250961
2018;1200336;198111625;4471312;193640313;34245666;6637476;31163633;121593539
2018;1200344;125008412;6378636;118629776;19554767;12999875;23467779;62607355
2018;1200351;192829951;3376737;189453214;34126790;4258722;23006084;128061618
2018;1200385;252906442;10095112;242811330;62504319;13588672;44844652;121873687
2018;1200393;112155821;2757732;109398089;13620812;2452009;15113669;78211598
2018;1200401;8940823180;1277996560;7662826619;149905364;802170795;4220399515;2490350945
2018;1200427;184545289;2655142;181890148;35576140;4098117;20802338;121413553
2018;1200435;71467473;1621244;69846229;12817126;1511582;9275008;46242513
2018;1200450;373185440;26975326;346210115;90656352;23042666;86973596;145537500
2018;1200500;518416142;20855333;497560809;96071441;21130942;113550000;266808426
2018;1200609;488825264;24211508;464613756;75131768;14939931;109095958;265446100
2018;1200708;239113599;9092398;230021202;64689858;4085103;45656922;115589319
2018;1200807;233715568;7000468;226715100;70828568;6069845;35665289;114151398
2018;1300029;169815852;2667582;167148270;53419062;6809097;27302155;79617956
2018;1300060;83090723;1288419;81802303;12891775;3305596;14317507;51287426
2018;1300086;116341249;1921758;114419491;35317712;4782651;18762897;55556232
2018;1300102;218252919;4396259;213856660;93163344;6478925;29586634;84627757
2018;1300144;210011629;4317916;205693712;61281539;12163229;45064163;87184781
2018;1300201;142480541;2681370;139799171;21492964;3827675;20909152;93569380
2018;1300300;357097657;11915510;345182147;83213883;17580008;70991285;173396971
2018;1300409;168178015;3918689;164259326;11395885;7986716;33507543;111369182
2018;1300508;258823051;6560733;252262317;45192076;9694536;45963468;151412237
2018;1300607;308681678;10230208;298451470;33437276;17060177;64149981;183804036
