cod_ibge;municipio;pop_masc18;pop_masc19
110001;Alta Floresta D'Oeste;3005;2913
110037;Alto Alegre dos Parecis;1786;1766
110040;Alto Paraíso;2690;2709
110034;Alvorada D'Oeste;1821;1736
110002;Ariquemes;14770;14830
110045;Buritis;5102;5131
110003;Cabixi;592;563
110060;Cacaulândia;715;707
110004;Cacoal;10821;10645
110070;Campo Novo de Rondônia;1846;1846
110080;Candeias do Jamari;3405;3454
110090;Castanheiras;363;347
110005;Cerejeiras;2028;1961
110092;Chupinguaia;1581;1619
110006;Colorado do Oeste;1850;1756
110007;Corumbiara;1004;960
110008;Costa Marques;2604;2663
110094;Cujubim;3376;3508
110009;Espigão D'Oeste;4045;4008
110100;Governador Jorge Teixeira;1006;926
110010;Guajará-Mirim;6281;6287
110110;Itapuã do Oeste;1411;1421
110011;Jaru;6641;6486
110012;Ji-Paraná;16503;16364
110013;Machadinho D'Oeste;5198;5264
110120;Ministro Andreazza;1196;1155
110130;Mirante da Serra;1392;1359
110140;Monte Negro;2053;2057
110014;Nova Brasilândia D'Oeste;2733;2675
110033;Nova Mamoré;3868;3949
110143;Nova União;993;966
110050;Novo Horizonte do Oeste;1009;954
110015;Ouro Preto do Oeste;4480;4326
110145;Parecis;816;818
110018;Pimenta Bueno;4988;4919
110146;Pimenteiras do Oeste;271;263
110020;Porto Velho;75584;75791
110025;Presidente Médici;2279;2169
110147;Primavera de Rondônia;366;345
110026;Rio Crespo;409;410
110028;Rolim de Moura;7150;7069
110029;Santa Luzia D'Oeste;814;751
110148;São Felipe D'Oeste;561;535
110149;São Francisco do Guaporé;2709;2740
110032;São Miguel do Guaporé;3083;3052
110150;Seringueiras;1606;1586
110155;Teixeirópolis;530;501
110160;Theobroma;1266;1229
110170;Urupá;1432;1371
110175;Vale do Anari;1319;1311
110180;Vale do Paraíso;834;789
110030;Vilhena;12952;13095
120001;Acrelândia;2106;2131
120005;Assis Brasil;942;953
120010;Brasiléia;3638;3696
120013;Bujari;1442;1470
120017;Capixaba;1631;1686
120020;Cruzeiro do Sul;12686;12785
120025;Epitaciolândia;2521;2569
120030;Feijó;5256;5283
120032;Jordão;1258;1286
120033;Mâncio Lima;2638;2666
120034;Manoel Urbano;1435;1458
120035;Marechal Thaumaturgo;2994;3090
120038;Plácido de Castro;2609;2639
120080;Porto Acre;2585;2655
120039;Porto Walter;1707;1751
120040;Rio Branco;57209;58150
120042;Rodrigues Alves;2748;2832
120043;Santa Rosa do Purus;988;1023
120050;Sena Madureira;6892;6967
120045;Senador Guiomard;3029;3055
120060;Tarauacá;6185;6305
120070;Xapuri;2776;2821
130002;Alvarães;2337;2358
130006;Amaturá;1698;1694
130008;Anamã;2115;2145
130010;Anori;3031;3053
130014;Apuí;3294;3297
130020;Atalaia do Norte;3130;3156
130030;Autazes;5463;5505
130040;Barcelos;4900;4860
130050;Barreirinha;4593;4638
130060;Benjamin Constant;6104;6196
130063;Beruri;2686;2725
130068;Boa Vista do Ramos;3025;3085
130070;Boca do Acre;4835;4801
130080;Borba;6068;6094
130083;Caapiranga;1910;1912
130090;Canutama;2275;2269
130100;Carauari;4179;4147
130110;Careiro;5197;5216
130115;Careiro da Várzea;3951;3965
130120;Coari;13750;13737
130130;Codajás;4277;4300
130140;Eirunepé;4993;4977
130150;Envira;3023;3046
130160;Fonte Boa;2662;2537
130165;Guajará;2538;2542
130170;Humaitá;8372;8417
130180;Ipixuna;3754;3795
130185;Iranduba;6382;6409
130190;Itacoatiara;13647;13689
130195;Itamarati;1239;1216
130200;Itapiranga;1287;1285
130210;Japurá;514;424
130220;Juruá;2213;2258
130230;Jutaí;2065;1988
130240;Lábrea;6602;6625
130250;Manacapuru;13847;13831
130255;Manaquiri;4319;4410
130260;Manaus;295041;297576
130270;Manicoré;8253;8270
130280;Maraã;3143;3164
130290;Maués;8936;9015
130300;Nhamundá;2919;2901
130310;Nova Olinda do Norte;5532;5554
130320;Novo Airão;2628;2646
130330;Novo Aripuanã;3870;3889
130340;Parintins;16277;16247
130350;Pauini;3104;3098
130353;Presidente Figueiredo;5269;5398
130356;Rio Preto da Eva;5058;5159
130360;Santa Isabel do Rio Negro;3296;3346
130370;Santo Antônio do Içá;3278;3179
130380;São Gabriel da Cachoeira;6508;6592
130390;São Paulo de Olivença;5653;5709
130395;São Sebastião do Uatumã;2097;2129
130400;Silves;1268;1265
130406;Tabatinga;9130;9256
130410;Tapauá;2629;2561
130420;Tefé;8643;8508
130423;Tonantins;2909;2894
130426;Uarini;1975;1998
130430;Urucará;2173;2135
130440;Urucurituba;3268;3273
140005;Alto Alegre;2067;2070
140002;Amajari;1765;1846
140010;Boa Vista;55547;59063
140015;Bonfim;1924;1983
140017;Cantá;2439;2522
140020;Caracaraí;3262;3336
140023;Caroebe;1401;1428
140028;Iracema;1618;1661
140030;Mucajaí;2487;2529
140040;Normandia;1801;1884
140045;Pacaraima;2216;2510
140047;Rorainópolis;4763;4836
140050;São João da Baliza;1181;1207
140060;São Luiz;1204;1207
140070;Uiramutã;1498;1557
150010;Abaetetuba;23238;23065
150013;Abel Figueiredo;1051;1055
150020;Acará;8568;8531
150030;Afuá;6222;6267
150034;Água Azul do Norte;4326;4318
150040;Alenquer;7686;7665
150050;Almeirim;4901;4873
150060;Altamira;15864;15967
150070;Anajás;4513;4589
150080;Ananindeua;69584;69739
150085;Anapu;4066;4154
150090;Augusto Corrêa;6790;6784
150095;Aurora do Pará;4498;4506
150100;Aveiro;2406;2411
150110;Bagre;4573;4649
150120;Baião;7375;7482
150125;Bannach;416;418
150130;Barcarena;18376;18632
150140;Belém;180238;178913
150145;Belterra;2359;2375
150150;Benevides;8916;9056
150157;Bom Jesus do Tocantins;2387;2365
150160;Bonito;2223;2224
150170;Bragança;17700;17632
150172;Brasil Novo;1997;1949
150175;Brejo Grande do Araguaia;1035;1029
150178;Breu Branco;9506;9629
150180;Breves;15413;15488
150190;Bujaru;4329;4377
150200;Cachoeira do Arari;3371;3368
150195;Cachoeira do Piriá;4947;5058
150210;Cametá;20262;20223
150215;Canaã dos Carajás;4997;5109
150220;Capanema;9092;9026
150230;Capitão Poço;7667;7569
150240;Castanhal;27793;27902
150250;Chaves;3479;3489
150260;Colares;1553;1523
150270;Conceição do Araguaia;6336;6304
150275;Concórdia do Pará;5060;5096
150276;Cumaru do Norte;2015;2089
150277;Curionópolis;2469;2425
150280;Curralinho;5177;5234
150285;Curuá;2080;2097
150290;Curuçá;5277;5249
150293;Dom Eliseu;9148;9242
150295;Eldorado do Carajás;4844;4814
150300;Faro;1046;1024
150304;Floresta do Araguaia;2924;2943
150307;Garrafão do Norte;3974;3942
150309;Goianésia do Pará;5897;5950
150310;Gurupá;5235;5293
150320;Igarapé-Açu;5401;5351
150330;Igarapé-Miri;8896;8795
150340;Inhangapi;1607;1598
150345;Ipixuna do Pará;10380;10630
150350;Irituia;4466;4399
150360;Itaituba;15099;15081
150370;Itupiranga;7767;7727
150375;Jacareacanga;1439;1367
150380;Jacundá;8415;8404
150390;Juruti;8504;8576
150400;Limoeiro do Ajuru;4594;4606
150405;Mãe do Rio;3975;3964
150410;Magalhães Barata;1183;1171
150420;Marabá;40526;40943
150430;Maracanã;4081;4018
150440;Marapanim;3861;3810
150442;Marituba;19099;19462
150445;Medicilândia;4738;4768
150450;Melgaço;4723;4773
150460;Mocajuba;4655;4689
150470;Moju;12379;12447
150475;Mojuí dos Campos;2131;2101
150480;Monte Alegre;7868;7810
150490;Muaná;6126;6192
150495;Nova Esperança do Piriá;3318;3313
150497;Nova Ipixuna;2265;2263
150500;Nova Timboteua;1928;1923
150503;Novo Progresso;3567;3583
150506;Novo Repartimento;10944;11071
150510;Óbidos;6874;6848
150520;Oeiras do Pará;4821;4858
