cod_ibge;municipio;pop_2018;pop_2019
110001;Alta Floresta D'Oeste;23167;22945
110037;Alto Alegre dos Parecis;13227;13241
110040;Alto Paraíso;20999;21428
110034;Alvorada D'Oeste;14722;14411
110002;Ariquemes;106168;107863
110045;Buritis;38937;39654
110003;Cabixi;5438;5312
110060;Cacaulândia;6190;6230
110004;Cacoal;84813;85359
110070;Campo Novo de Rondônia;14009;14139
110080;Candeias do Jamari;25983;26693
110090;Castanheiras;3119;3052
110005;Cerejeiras;16444;16323
110092;Chupinguaia;10886;11182
110006;Colorado do Oeste;16227;15882
110007;Corumbiara;7567;7391
110008;Costa Marques;17855;18331
110094;Cujubim;24226;25215
110009;Espigão D'Oeste;32047;32374
110100;Governador Jorge Teixeira;8095;7767
110010;Guajará-Mirim;45783;46174
110110;Itapuã do Oeste;10272;10458
110011;Jaru;51933;51775
110012;Ji-Paraná;127907;128969
110013;Machadinho D'Oeste;39097;39991
110120;Ministro Andreazza;9762;9660
110130;Mirante da Serra;11080;10947
110140;Monte Negro;15695;15852
110014;Nova Brasilândia D'Oeste;20459;20474
110033;Nova Mamoré;29757;30583
110143;Nova União;7047;6970
110050;Novo Horizonte do Oeste;8751;8538
110015;Ouro Preto do Oeste;36340;36035
110145;Parecis;5947;6074
110018;Pimenta Bueno;36434;36660
110146;Pimenteiras do Oeste;2191;2169
110020;Porto Velho;519531;529544
110025;Presidente Médici;19409;18986
110147;Primavera de Rondônia;2939;2856
110026;Rio Crespo;3723;3764
110028;Rolim de Moura;54702;55058
110029;Santa Luzia D'Oeste;6781;6495
110148;São Felipe D'Oeste;5280;5172
110149;São Francisco do Guaporé;19842;20266
110032;São Miguel do Guaporé;22931;23005
110150;Seringueiras;11860;11856
110155;Teixeirópolis;4384;4308
110160;Theobroma;10494;10444
110170;Urupá;11665;11467
110175;Vale do Anari;11028;11204
110180;Vale do Paraíso;6998;6825
110030;Vilhena;97448;99854
120001;Acrelândia;15020;15256
120005;Assis Brasil;7300;7417
120010;Brasiléia;25848;26278
120013;Bujari;10111;10266
120017;Capixaba;11456;11733
120020;Cruzeiro do Sul;87673;88376
120025;Epitaciolândia;18122;18411
120030;Feijó;34675;34780
120032;Jordão;8159;8317
120033;Mâncio Lima;18638;18977
120034;Manoel Urbano;9336;9459
120035;Marechal Thaumaturgo;18430;18867
120038;Plácido de Castro;19565;19761
120080;Porto Acre;18180;18504
120039;Porto Walter;11720;11982
120040;Rio Branco;401155;407319
120042;Rodrigues Alves;18504;18930
120043;Santa Rosa do Purus;6362;6540
120050;Sena Madureira;45177;45848
120045;Senador Guiomard;22810;23024
120060;Tarauacá;41976;42567
120070;Xapuri;19048;19323
130002;Alvarães;15860;16041
130006;Amaturá;11332;11536
130008;Anamã;13269;13614
130010;Anori;20538;21010
130014;Apuí;21583;21973
130020;Atalaia do Norte;19438;19921
130030;Autazes;38830;39565
130040;Barcelos;27364;27502
130050;Barreirinha;31593;32041
130060;Benjamin Constant;42020;42984
130063;Beruri;19258;19679
130068;Boa Vista do Ramos;18781;19207
130070;Boca do Acre;33976;34308
130080;Borba;40565;41161
130083;Caapiranga;12877;13081
130090;Canutama;15450;15629
130100;Carauari;28076;28294
130110;Careiro;37384;37869
130115;Careiro da Várzea;29595;30225
130120;Coari;84272;85097
130130;Codajás;28100;28637
130140;Eirunepé;34840;35273
130150;Envira;19668;20033
130160;Fonte Boa;18221;17609
130165;Guajará;16416;16678
130170;Humaitá;54001;55080
130180;Ipixuna;28933;29689
130185;Iranduba;47571;48296
130190;Itacoatiara;99955;101337
130195;Itamarati;7888;7851
130200;Itapiranga;9064;9148
130210;Japurá;3265;2755
130220;Juruá;14312;14712
130230;Jutaí;14753;14317
130240;Lábrea;45245;46069
130250;Manacapuru;96236;97377
130255;Manaquiri;31147;32105
130260;Manaus;2145444;2182763
130270;Manicoré;54907;55751
130280;Maraã;18186;18224
130290;Maués;62755;63905
130300;Nhamundá;20899;21173
130310;Nova Olinda do Norte;36721;37378
130320;Novo Airão;18974;19454
130330;Novo Aripuanã;25237;25644
130340;Parintins;113168;114273
130350;Pauini;19329;19426
130353;Presidente Figueiredo;35352;36279
130356;Rio Preto da Eva;32577;33347
130360;Santa Isabel do Rio Negro;24436;25156
130370;Santo Antônio do Içá;21966;21602
130380;São Gabriel da Cachoeira;44816;45564
130390;São Paulo de Olivença;38515;39299
130395;São Sebastião do Uatumã;13685;14020
130400;Silves;9110;9171
130406;Tabatinga;64488;65844
130410;Tapauá;17299;17156
130420;Tefé;60154;59849
130423;Tonantins;18610;18755
130426;Uarini;13387;13540
130430;Urucará;16383;16256
130440;Urucurituba;22537;23065
140005;Alto Alegre;15638;15510
140002;Amajari;12394;12796
140010;Boa Vista;375374;399213
140015;Bonfim;12257;12409
140017;Cantá;17868;18335
140020;Caracaraí;21564;21926
140023;Caroebe;9950;10169
140028;Iracema;11600;11950
140030;Mucajaí;17528;17853
140040;Normandia;11045;11290
140045;Pacaraima;15580;17401
140047;Rorainópolis;29533;30163
140050;São João da Baliza;8052;8201
140060;São Luiz;7860;7986
140070;Uiramutã;10325;10559
150010;Abaetetuba;156292;157698
150013;Abel Figueiredo;7382;7434
150020;Acará;55513;55591
150030;Afuá;38863;39218
150034;Água Azul do Norte;27241;27430
150040;Alenquer;56480;56789
150050;Almeirim;34142;34109
150060;Altamira;113195;114594
150070;Anajás;28859;29277
150080;Ananindeua;525566;530598
150085;Anapu;27161;27890
150090;Augusto Corrêa;45516;45998
150095;Aurora do Pará;30896;31338
150100;Aveiro;16371;16388
150110;Bagre;30009;30673
150120;Baião;46416;47446
150125;Bannach;3310;3286
150130;Barcarena;122294;124680
150140;Belém;1485732;1492745
150145;Belterra;17624;17732
150150;Benevides;61689;62737
150157;Bom Jesus do Tocantins;16841;16981
150160;Bonito;16038;16286
150170;Bragança;126436;127686
150172;Brasil Novo;15190;15086
150175;Brejo Grande do Araguaia;7392;7380
150178;Breu Branco;64738;66046
150180;Breves;101891;102701
150190;Bujaru;28832;29132
150200;Cachoeira do Arari;23466;23767
150195;Cachoeira do Piriá;33178;33900
150210;Cametá;136390;137890
150215;Canaã dos Carajás;36050;37085
150220;Capanema;68616;69027
150230;Capitão Poço;54179;54303
150240;Castanhal;198294;200793
150250;Chaves;23482;23717
150260;Colares;12040;12085
150270;Conceição do Araguaia;47734;47864
150275;Concórdia do Pará;32847;33318
150276;Cumaru do Norte;13179;13473
150277;Curionópolis;18014;17929
150280;Curralinho;33893;34448
150285;Curuá;14197;14393
150290;Curuçá;39540;40066
150293;Dom Eliseu;58956;59719
150295;Eldorado do Carajás;33674;33808
150300;Faro;7319;7194
150304;Floresta do Araguaia;20080;20304
150307;Garrafão do Norte;26020;26066
150309;Goianésia do Pará;39857;40475
150310;Gurupá;32991;33376
150320;Igarapé-Açu;38588;38807
150330;Igarapé-Miri;62355;62698
150340;Inhangapi;11559;11711
150345;Ipixuna do Pará;62455;64053
150350;Irituia;32504;32550
150360;Itaituba;101097;101247
150370;Itupiranga;53182;53269
150375;Jacareacanga;8899;8239
150380;Jacundá;58457;59155
150390;Juruti;56908;57943
150400;Limoeiro do Ajuru;28583;28935
150405;Mãe do Rio;29917;30077
150410;Magalhães Barata;8523;8548
150420;Marabá;275086;279349
150430;Maracanã;29429;29473
150440;Marapanim;28220;28336
150442;Marituba;129321;131521
150445;Medicilândia;31213;31597
150450;Melgaço;27415;27654
150460;Mocajuba;30736;31136
150470;Moju;80988;82094
150475;Mojuí dos Campos;15982;16084
150480;Monte Alegre;57900;58032
150490;Muaná;39783;40349
150495;Nova Esperança do Piriá;21291;21368
150497;Nova Ipixuna;16499;16678
150500;Nova Timboteua;15218;15363
150503;Novo Progresso;25758;25762
150506;Novo Repartimento;74602;75919
150510;Óbidos;51964;52137
150520;Oeiras do Pará;32168;32512
150530;Oriximiná;72160;73096
150540;Ourém;17721;17842
150543;Ourilândia do Norte;32319;32832
150548;Pacajá;46986;47706
150549;Palestina do Pará;7596;7589
150550;Paragominas;111764;113145
150553;Parauapebas;202882;208273
150555;Pau D'Arco;5557;5483
150560;Peixe-Boi;8073;8077
150563;Piçarra;12983;12981
150565;Placas;30293;30982
150570;Ponta de Pedras;30608;31082
150580;Portel;61126;62043
150590;Porto de Moz;40458;41135
150600;Prainha;29886;29866
150610;Primavera;10792;10825
150611;Quatipuru;13512;13608
150613;Redenção;83997;84787
150616;Rio Maria;18186;18193
150618;Rondon do Pará;51903;52357
150619;Rurópolis;49503;50510
150620;Salinópolis;40424;40675
150630;Salvaterra;23424;23752
150635;Santa Bárbara do Pará;20704;21079
150640;Santa Cruz do Arari;9939;10128
150650;Santa Izabel do Pará;69746;70801
150655;Santa Luzia do Pará;19852;19848
150658;Santa Maria das Barreiras;21042;21449
150660;Santa Maria do Pará;24725;24861
150670;Santana do Araguaia;71187;72817
150680;Santarém;302667;304589
150690;Santarém Novo;6664;6709
150700;Santo Antônio do Tauá;31038;31482
150710;São Caetano de Odivelas;17970;18050
150715;São Domingos do Araguaia;25358;25557
150720;São Domingos do Capim;31837;31989
150730;São Félix do Xingu;124763;128481
150740;São Francisco do Pará;15833;15882
150745;São Geraldo do Araguaia;24991;24847
150746;São João da Ponta;6059;6139
150747;São João de Pirabas;22842;23045
150750;São João do Araguaia;13940;13996
150760;São Miguel do Guamá;58328;58986
150770;São Sebastião da Boa Vista;26301;26640
150775;Sapucaia;5849;5930
150780;Senador José Porfírio;11839;11658
150790;Soure;25181;25374
150795;Tailândia;103664;106339
150796;Terra Alta;11591;11720
150797;Terra Santa;18619;18769
150800;Tomé-Açu;62854;63447
150803;Tracuateua;30656;30959
150805;Trairão;18807;18989
150808;Tucumã;39059;39602
150810;Tucuruí;112148;113659
150812;Ulianópolis;57632;59210
150815;Uruará;45517;45476
150820;Vigia;53191;53686
150830;Viseu;61049;61403
150835;Vitória do Xingu;14987;15134
150840;Xinguara;44410;44751
160010;Amapá;9029;9109
160020;Calçoene;10926;11117
160021;Cutias;5864;5983
160023;Ferreira Gomes;7591;7780
160025;Itaubal;5387;5503
160027;Laranjal do Jari;49446;50410
160030;Macapá;493634;503327
160040;Mazagão;21206;21632
160050;Oiapoque;26627;27270
160015;Pedra Branca do Amapari;15931;16502
160053;Porto Grande;21484;21971
160055;Pracuúba;4993;5120
160060;Santana;119610;121364
160005;Serra do Navio;5306;5397
160070;Tartarugalzinho;16855;17315
160080;Vitória do Jari;15605;15931
170025;Abreulândia;2564;2579
170030;Aguiarnópolis;6572;6733
170035;Aliança do Tocantins;5434;5390
170040;Almas;7131;7055
170070;Alvorada;8427;8412
170100;Ananás;9607;9549
170105;Angico;3417;3433
170110;Aparecida do Rio Negro;4741;4795
170130;Aragominas;5786;5758
170190;Araguacema;7016;7086
170200;Araguaçu;8567;8517
170210;Araguaína;177517;180470
170215;Araguanã;5663;5729
170220;Araguatins;35346;35761
170230;Arapoema;6670;6643
170240;Arraias;10601;10567
170255;Augustinópolis;18178;18412
170270;Aurora do Tocantins;3731;3757
170290;Axixá do Tocantins;9725;9756
170300;Babaçulândia;10662;10664
170305;Bandeirantes do Tocantins;3512;3553
170307;Barra do Ouro;4549;4591
170310;Barrolândia;5614;5632
170320;Bernardo Sayão;4469;4459
170330;Bom Jesus do Tocantins;4779;4894
170360;Brasilândia do Tocantins;2191;2201
170370;Brejinho de Nazaré;5475;5497
170380;Buriti do Tocantins;11197;11348
170382;Cachoeirinha;2266;2275
170384;Campos Lindos;9917;10116
170386;Cariri do Tocantins;4321;4382
170388;Carmolândia;2556;2580
170389;Carrasco Bonito;4059;4095
170390;Caseara;5295;5369
170410;Centenário;2874;2905
170510;Chapada da Natividade;3334;3333
170460;Chapada de Areia;1401;1406
170550;Colinas do Tocantins;34990;35424
171670;Colméia;8270;8205
170555;Combinado;4843;4852
