"","codmunres","uf","total"
"1",110000,"RO",2
"2",110001,"RO",8
"3",110002,"RO",33
"4",110004,"RO",17
"5",110005,"RO",2
"6",110006,"RO",3
"7",110007,"RO",1
"8",110008,"RO",1
"9",110009,"RO",6
"10",110010,"RO",9
"11",110011,"RO",8
"12",110012,"RO",25
"13",110013,"RO",4
"14",110014,"RO",6
"15",110015,"RO",5
"16",110018,"RO",8
"17",110020,"RO",129
"18",110025,"RO",2
"19",110028,"RO",9
"20",110029,"RO",1
"21",110030,"RO",31
"22",110032,"RO",4
"23",110033,"RO",14
"24",110034,"RO",1
"25",110037,"RO",5
"26",110040,"RO",3
"27",110045,"RO",13
"28",110060,"RO",2
"29",110070,"RO",2
"30",110080,"RO",7
"31",110092,"RO",2
"32",110094,"RO",1
"33",110100,"RO",1
"34",110110,"RO",1
"35",110120,"RO",3
"36",110130,"RO",5
"37",110140,"RO",6
"38",110145,"RO",2
"39",110148,"RO",1
"40",110149,"RO",2
"41",110150,"RO",1
"42",110155,"RO",1
"43",110175,"RO",2
"44",110180,"RO",1
"45",120000,"AC",6
"46",120001,"AC",4
"47",120005,"AC",2
"48",120010,"AC",6
"49",120013,"AC",1
"50",120017,"AC",2
"51",120020,"AC",27
"52",120025,"AC",2
"53",120030,"AC",8
"54",120032,"AC",1
"55",120033,"AC",7
"56",120034,"AC",3
"57",120038,"AC",8
"58",120039,"AC",2
"59",120040,"AC",184
"60",120042,"AC",6
"61",120045,"AC",6
"62",120050,"AC",11
"63",120060,"AC",18
"64",120070,"AC",2
"65",120080,"AC",6
"66",130000,"AM",2
"67",130002,"AM",2
"68",130006,"AM",2
"69",130008,"AM",2
"70",130010,"AM",1
"71",130014,"AM",6
"72",130020,"AM",1
"73",130030,"AM",8
"74",130040,"AM",2
"75",130050,"AM",4
"76",130060,"AM",8
"77",130063,"AM",5
"78",130068,"AM",4
"79",130070,"AM",10
"80",130080,"AM",6
"81",130083,"AM",4
"82",130090,"AM",3
"83",130100,"AM",7
"84",130110,"AM",12
"85",130115,"AM",1
"86",130120,"AM",42
"87",130130,"AM",7
"88",130140,"AM",24
"89",130150,"AM",8
"90",130160,"AM",8
"91",130165,"AM",4
"92",130170,"AM",10
"93",130180,"AM",5
"94",130185,"AM",13
"95",130190,"AM",31
"96",130195,"AM",2
"97",130200,"AM",2
"98",130230,"AM",2
"99",130240,"AM",27
"100",130250,"AM",23
"101",130255,"AM",3
"102",130260,"AM",982
"103",130270,"AM",10
"104",130280,"AM",4
"105",130290,"AM",19
"106",130310,"AM",3
"107",130320,"AM",1
"108",130330,"AM",7
"109",130340,"AM",22
"110",130350,"AM",2
"111",130353,"AM",18
"112",130356,"AM",10
"113",130380,"AM",5
"114",130390,"AM",1
"115",130395,"AM",2
"116",130400,"AM",1
"117",130406,"AM",36
"118",130410,"AM",1
"119",130420,"AM",13
"120",130426,"AM",3
"121",130430,"AM",2
"122",130440,"AM",2
"123",140005,"RR",6
"124",140010,"RR",113
"125",140015,"RR",3
"126",140017,"RR",4
"127",140020,"RR",5
"128",140023,"RR",2
"129",140028,"RR",4
"130",140030,"RR",7
"131",140040,"RR",2
"132",140045,"RR",3
"133",140047,"RR",6
"134",140050,"RR",2
"135",140060,"RR",2
"136",150000,"PA",45
"137",150010,"PA",62
"138",150013,"PA",2
"139",150020,"PA",24
"140",150030,"PA",5
"141",150034,"PA",2
"142",150040,"PA",5
"143",150050,"PA",9
"144",150060,"PA",113
"145",150070,"PA",9
"146",150080,"PA",226
"147",150085,"PA",29
"148",150090,"PA",5
"149",150095,"PA",3
"150",150120,"PA",12
"151",150125,"PA",2
"152",150130,"PA",53
"153",150140,"PA",604
"154",150145,"PA",6
"155",150150,"PA",24
"156",150157,"PA",7
"157",150160,"PA",6
"158",150170,"PA",41
"159",150172,"PA",8
"160",150175,"PA",2
"161",150178,"PA",27
"162",150180,"PA",29
"163",150190,"PA",26
"164",150195,"PA",11
"165",150210,"PA",24
"166",150215,"PA",20
"167",150220,"PA",30
"168",150230,"PA",30
"169",150240,"PA",115
"170",150260,"PA",3
"171",150270,"PA",6
"172",150275,"PA",16
"173",150276,"PA",5
"174",150277,"PA",8
"175",150280,"PA",3
"176",150290,"PA",17
"177",150293,"PA",9
"178",150295,"PA",19
"179",150300,"PA",2
"180",150304,"PA",17
"181",150307,"PA",13
"182",150309,"PA",21
"183",150310,"PA",1
